ID,ratio,rate,speaker,audio_url,video_url,image_url,desc::transcript
01_0500,0,0,LS,breach/01_0500.wav,https://youtu.be/d9ffhkoLl-c&t=0500,breach/empty.png,"""はい、あの、その、そのセチュエーションは、あの、射撃を使わ、あの、使えない、あの、うん、できない"""
01_0752,0,0,LS,breach/01_0752.wav,https://youtu.be/d9ffhkoLl-c&t=0752,breach/empty.png,"""オレンジと緑サイコロを振って、失敗、はいどうぞ"
01_1530,0,0,JE,breach/01_1530.wav,https://youtu.be/d9ffhkoLl-c&t=1530,breach/empty.png,"""え、あの、進軍すると襲撃できない、そういうこと、そういうこと、でも全進するとうん、襲撃できる？でも4inだけ全進できるから、ま、足りない"""
01_1562,0,0,LS,breach/01_1562.wav,https://youtu.be/d9ffhkoLl-c&t=1562,breach/empty.png,"""4inとあの襲撃、4inとサイクロ2つの多分あの届ける"""
01_1668,0,0,JE,breach/01_1668.wav,https://youtu.be/d9ffhkoLl-c&t=1668,breach/empty.png,"""じゃあ２、２in、前進、１、２、うん射撃、そう、これは10、１５in未満から、黄色いと緑"""
01_1719,0,0,LS,breach/01_1719.wav,https://youtu.be/d9ffhkoLl-c&t=1719,breach/empty.png,"""でも今、あの、0in そう、あの、移動しないとあの、普通ス、あの、サイコロを使える"""
01_1952,0,0,JE,breach/01_1952.wav,https://youtu.be/d9ffhkoLl-c&t=1952,breach/empty.png,"""チームワーク協力してください、オールクと倒してください"""
03_1101,0,0,JE,breach/03_1101.wav,https://youtu.be/GFy9VZWZp_A&t=1101,breach/empty.png,"""さ、今距離が長いから、あの、射撃できない、対戦できない、攻撃できない、移動だけ"""
03_1201,0,0,JE,breach/03_1201.wav,https://youtu.be/GFy9VZWZp_A&t=1201,breach/empty.png,"""まオッケ進軍、ま８inまで、でも６inでもオッケ、５inでもオッケ"""
03_1971,0,0,JE,breach/03_1971.wav,https://youtu.be/GFy9VZWZp_A&t=1971,breach/empty.png,"""15inだから、そうでも15in未満15in以上、そう15in未満"""
06_0257,0,0,JE,breach/06_0257.wav,https://youtu.be/eFTk8yCKGkI&t=0257,breach/empty.png,"""あの、こいつが、こいつ見える、あの、うん、山の方が森より高い、ああ、うん"""
06_1160,0,0,LS,breach/06_1160.wav,https://youtu.be/eFTk8yCKGkI&t=1160,breach/empty.png,"""多分あの多分行かなきゃいけないあのチャージできないあの"""
06_1249,0,0,LS,breach/06_1249.wav,https://youtu.be/eFTk8yCKGkI&t=1249,breach/empty.png,"""進軍かあの走るの時？ああ、襲撃は走るけどあの、走る戦い、走って戦う"""
06_1274,0,0,JE,breach/06_1274.wav,https://youtu.be/eFTk8yCKGkI&t=1274,breach/empty.png,"""でももしあのカモルコがこの岡の麓、直直ふ麓にいると、あのエルフが射撃できる？"""
06_1311,0,0,JE,breach/06_1311.wav,https://youtu.be/eFTk8yCKGkI&t=1311,breach/empty.png,"""進軍したら、射撃できない、はい、前進、や、ま"""
06_1657,0,0,LS,breach/06_1657.wav,https://youtu.be/eFTk8yCKGkI&t=1657,breach/empty.png,"""でも大丈夫です、次のターンはあの襲撃、襲撃ちょっと遠い、襲撃じゃって見た方がいいですけど"""
06_1801,0,0,LS,breach/06_1801.wav,https://youtu.be/eFTk8yCKGkI&t=1801,breach/empty.png,"""４inとあのサイコロの結果そう４inここまで、あ、じゃあ、サイコロは、高い"""
08_0170,0.44,1.12,LS,breach/08_0170.wav,https://youtu.be/Kh1EHfHl22Y&t=0170,breach/08_0170.png,"""だからこのキャラにはサイロンいつも最初でしょ"""
08_1847,0,0,JE,breach/08_1847.wav,https://youtu.be/Kh1EHfHl22Y&t=1847,breach/08_1847.png,"""なるほど防御者がセーブだから防御者のデータを使う"""
08_2087,0.91,2.51,LS,breach/08_2087.wav,https://youtu.be/Kh1EHfHl22Y&t=2087,breach/08_2087.png,"""本当に今分かるですけどそれは多分もっと簡単のあの説明じゃなくて説明はいいですけど"""
08_2658,0.38,1.48,JE,breach/08_2658.wav,https://youtu.be/Kh1EHfHl22Y&t=2658,breach/08_2658.png,"""でも今見えないサイロンがカモルコ見えないこの障害物があるから"""
08_2834,0.38,1.02,LS,breach/08_2834.wav,https://youtu.be/Kh1EHfHl22Y&t=2834,breach/08_2834.png,"""あの、サイロンの見、見ない時、あの、チャージもできますか？"""
08_3458,0.67,2.16,JE,breach/08_3458.wav,https://youtu.be/Kh1EHfHl22Y&t=3458,breach/08_3458.png,"""あ、オッケー、で、これがそう、12inいないから普通の"""
08_4132,0,0,LS,breach/08_4132.wav,https://youtu.be/Kh1EHfHl22Y&t=4132,breach/empty.png,"""APは、あの、なんていうか、弓を使ったら、そうですね、あの、でも、あの、なんというか"""
