ID,desc::Transcription,Function_x,Function_y,Content,Distribution,Form,desc::Repetition,desc::Words,desc::Syllables,desc::Duration
D01_01BF47_52,già,agreement,agreement,lexical,silence,simple,nonrepeated,1,1,0.26
D01_02BF47_156,esatto,agreement,agreement,lexical,overlap,simple,nonrepeated,1,3,0.71
D01_02BF47_158,eh,agreement,agreement,nonlexical,overlap,simple,nonrepeated,1,1,0.23
D01_02BF47_160,esatto,agreement,agreement,lexical,silence,simple,nonrepeated,1,3,0.55
D01_02BF47_202,esatto,agreement,agreement,lexical,overlap,simple,nonrepeated,1,3,0.99
D01_02BF47_248,eh sì,agreement,agreement,mixed,silence,multiunit,nonrepeated,2,2,0.72
D02_03BM59_24,sì sì quello sicuramente,agreement,agreement,lexical,overlap,multiunit,repeated,3,4,1.46
D02_03BM59_4,esatto,agreement,agreement,lexical,overlap,simple,nonrepeated,1,3,0.63
D02_03BM59_16,sì,agreement,agreement,lexical,overlap,simple,nonrepeated,1,1,0.3
D02_03BM59_22,sì,agreement,agreement,lexical,silence,simple,nonrepeated,1,1,0.63
D02_03BM59_98,mh sì sì,agreement,agreement,mixed,overlap,multiunit,repeated,3,3,0.88
D02_03BM59_32,sì,agreement,agreement,lexical,overlap,simple,nonrepeated,1,1,0.3
D02_03BM59_34,sì,agreement,agreement,lexical,silence,simple,nonrepeated,1,1,0.3
D02_03BM59_38,sì,agreement,agreement,lexical,overlap,simple,nonrepeated,1,1,0.26
D02_03BM59_54,sì ,agreement,agreement,lexical,overlap,simple,nonrepeated,1,1,0.41
D02_03BM59_74,esatto,agreement,agreement,lexical,overlap,simple,nonrepeated,1,3,0.49
D02_03BM59_82,esatto,agreement,agreement,lexical,overlap,simple,nonrepeated,1,3,0.67
D02_03BM59_84,sì,agreement,agreement,lexical,overlap,simple,nonrepeated,1,1,0.25
D02_04BM56_34,eh sì,agreement,agreement,mixed,overlap,multiunit,nonrepeated,2,2,0.53
D02_04BM56_42,sì sì,agreement,agreement,lexical,overlap,multiunit,repeated,2,2,1.31
D02_03BM59_88,esatto,agreement,agreement,lexical,overlap,simple,nonrepeated,1,3,0.51
D02_03BM59_100,sì,agreement,agreement,lexical,overlap,simple,nonrepeated,1,1,0.35
D02_03BM59_104,no,agreement,agreement,lexical,silence,simple,nonrepeated,1,1,0.21
D02_04BM56_44,no no comunque sì ,agreement,agreement,lexical,overlap,multiunit,repeated,4,6,1.4
D02_03BM59_112,sì,agreement,agreement,lexical,overlap,simple,nonrepeated,1,1,0.3
D02_03BM59_116,sì,agreement,agreement,lexical,overlap,simple,nonrepeated,1,1,0.26
D02_04BM56_184,certo,agreement,agreement,lexical,overlap,simple,nonrepeated,1,2,0.55
