ID,desc::Transcription,Function_x,Function_y,Overlap,Nonlexical,Words,Multiunit,Repeat,Syllables,desc::Duration,desc::Ignore
D01_01BF47_52,già,ag,ag,0,0,1,0,0,1,0.26,S
D01_02BF47_156,esatto,ag,ag,1,0,1,0,0,3,0.71,L
D01_02BF47_158,eh,ag,ag,1,1,1,0,0,1,0.23,N
D01_02BF47_160,esatto,ag,ag,0,0,1,0,0,3,0.55,L
D01_02BF47_202,esatto,ag,ag,1,0,1,0,0,3,0.99,L
D01_02BF47_248,eh sì,ag,ag,0,2,2,1,0,2,0.72,NS
D02_03BM59_24,sì sì quello sicuramente,ag,ag,1,0,3,1,1,4,1.46,SRL
D02_03BM59_4,esatto,ag,ag,1,0,1,0,0,3,0.63,L
D02_03BM59_16,sì,ag,ag,1,0,1,0,0,1,0.3,S
D02_03BM59_22,sì,ag,ag,0,0,1,0,0,1,0.63,S
D02_03BM59_98,mh sì sì,ag,ag,1,2,3,1,1,3,0.88,NSR
D02_03BM59_32,sì,ag,ag,1,0,1,0,0,1,0.3,S
D02_03BM59_34,sì,ag,ag,0,0,1,0,0,1,0.3,S
D02_03BM59_38,sì,ag,ag,1,0,1,0,0,1,0.26,S
D02_03BM59_54,sì ,ag,ag,1,0,1,0,0,1,0.41,S
D02_03BM59_74,esatto,ag,ag,1,0,1,0,0,3,0.49,L
D02_03BM59_82,esatto,ag,ag,1,0,1,0,0,3,0.67,L
D02_03BM59_84,sì,ag,ag,1,0,1,0,0,1,0.25,S
D02_04BM56_34,eh sì,ag,ag,1,2,2,1,0,2,0.53,NS
D02_04BM56_42,sì sì,ag,ag,1,0,2,1,1,2,1.31,SR
D02_03BM59_88,esatto,ag,ag,1,0,1,0,0,3,0.51,L
D02_03BM59_100,sì,ag,ag,1,0,1,0,0,1,0.35,S
D02_03BM59_104,no,ag,ag,0,0,1,0,0,1,0.21,S
D02_04BM56_44,no no comunque sì ,ag,ag,1,0,4,1,1,6,1.4,SRLS
D02_03BM59_112,sì,ag,ag,1,0,1,0,0,1,0.3,S
D02_03BM59_116,sì,ag,ag,1,0,1,0,0,1,0.26,S
D02_04BM56_184,certo,ag,ag,1,0,1,0,0,2,0.55,L
D02_04BM56_290,sì,ag,ag,1,0,1,0,0,1,0.48,S
D04_07BF55_30,esatto,ag,ag,1,0,1,0,0,3,0.54,L
D04_07BF55_34,esatto,ag,ag,1,0,1,0,0,3,0.7,L
D04_07BF55_36,eh,ag,ag,1,1,1,0,0,1,0.2,N
D04_07BF55_38,eh,ag,ag,1,1,1,0,0,1,0.18,N
D04_07BF55_122,sì,ag,ag,1,0,1,0,0,1,0.57,S
D04_08BF55_48,no,ag,ag,1,0,1,0,0,1,0.75,S
D04_08BF55_66,sì,ag,ag,1,0,1,0,0,1,0.29,S
D04_08BF55_84,eh,ag,ag,1,1,1,0,0,1,0.17,N
D02_04BM56_90,sì sì,ag,ag,0,0,2,1,1,2,0.89,SR
D02_04BM56_112,no no,ag,ag,1,0,2,1,1,2,0.32,SR
D04_08BF55_168,sì,ag,ag,0,0,1,0,0,1,0.32,S
D02_04BM56_142,mh sì sì beh,ag,ag,1,2,4,1,1,4,1.27,NSRN
D04_08BF55_242,sì,ag,ag,1,0,1,0,0,1,0.34,S
D08_15BM22_70,sì,ag,ag,1,0,1,0,0,1,0.55,S
D12_23LM30_70,no,ag,ag,1,0,1,0,0,1,0.76,S
D12_24LF27_12,eh,ag,ag,0,1,1,0,0,1,0.14,N
D12_24LF27_82,sì,ag,ag,1,0,1,0,0,1,0.25,S
D12_24LF27_86,è vero,ag,ag,0,0,1,0,0,3,0.4,L
D13_25LF23_102,esatto,ag,ag,1,0,1,0,0,3,0.61,L
D15_30BM23_26,sì,ag,ag,1,0,1,0,0,1,0.16,S
D02_04BM56_156,sì sì sì,ag,ag,1,0,3,1,1,3,0.86,SRR
D15_30BM23_44,sì,ag,ag,1,0,1,0,0,1,0.46,S
D02_04BM56_168,eh certo,ag,ag,1,2,2,1,0,3,0.63,NL
D02_04BM56_186,sì sì sì certo,ag,ag,1,0,4,1,1,5,1.07,SRRL
D02_04BM56_122,eheh,as,as,1,1,1,0,0,2,0.36,N
D02_04BM56_196,sì sì,ag,ag,0,0,2,1,1,2,0.64,SR
D02_04BM56_258,mhmh,as,as,1,1,1,0,0,2,0.45,N
D04_07BF55_32,eheh,as,as,1,1,1,0,0,2,0.23,N
D04_07BF55_44,eh,as,as,1,1,1,0,0,1,0.28,N
D04_07BF55_134,ah,as,as,1,1,1,0,0,1,0.14,N
